2101,1,2173,14
2102,1,1505,14
2103,1,2962,10
2104,1,1245,11
2105,1,2030,5
2106,1,559,7
2107,1,1298,13
2108,1,2655,13
2109,1,1448,11
2110,1,2590,12
2111,1,2254,9
2112,1,384,9
2113,1,2288,12
2114,1,2784,9
2115,1,2908,5
2116,1,711,6
2117,1,452,11
2118,1,1144,11
2119,1,268,15
2120,1,2443,15
2121,1,1214,8
2122,1,75,9
2123,1,2562,9
2124,1,280,12
2125,1,1786,11
2126,1,1521,12
2127,1,1365,10
2128,1,1102,12
2129,1,275,11
2130,1,1285,8
2131,1,1571,13
2132,1,2661,6
2133,1,1169,14
2134,1,2954,8
2135,1,1528,15
2136,1,2343,9
2137,1,1488,11
2138,1,113,7
2139,1,2636,11
2140,1,473,6
2141,1,1929,13
2142,1,2264,15
2143,1,31,5
2144,1,163,13
2145,1,1132,11
2146,1,2166,13
2147,1,2323,14
2148,1,2452,7
2149,1,462,15
2150,1,393,14
2151,1,985,12
2152,1,832,14
2153,1,1052,7
2154,1,2700,12
2155,1,397,6
2156,1,1677,10
2157,1,1749,8
2158,1,2867,5
2159,1,2576,12
2160,1,568,9
2161,1,1141,10
2162,1,376,12
2163,1,116,13
2164,1,2,11
2165,1,1393,8
2166,1,170,7
2167,1,1629,13
2168,1,2381,12
2169,1,1614,13
2170,1,2541,8
2171,1,2249,14
2172,1,2403,6
2173,1,222,9
2174,1,1842,15
2175,1,2314,15
2176,1,1000,10
2177,1,2619,8
2178,1,1079,14
2179,1,2958,9
2180,1,1637,11
2181,1,603,8
2182,1,45,7
2183,1,1243,7
2184,1,2592,12
2185,1,1831,9
2186,1,355,12
2187,1,2191,11
2188,1,821,7
2189,1,1799,14
2190,1,271,12
2191,1,1336,11
2192,1,1248,6
2193,1,716,13
2194,1,2532,14
2195,1,2208,7
2196,1,2606,10
2197,1,2458,7
2198,1,2360,10
2199,1,2733,13
2200,1,1893,10
2201,1,1182,8
2202,1,2841,13
2203,1,440,7
2204,1,2197,6
2205,1,2825,10
2206,1,807,9
2207,1,362,9
2208,1,474,6
2209,1,2772,13
2210,1,685,11
2211,1,2890,5
2212,1,224,15
2213,1,2764,15
2214,1,589,15
2215,1,2869,11
2216,1,1191,14
2217,1,2257,8
2218,1,2438,10
2219,1,2859,5
2220,1,1982,8
2221,1,2949,14
2222,1,2267,5
2223,1,2258,10
2224,1,752,6
2225,1,1308,14
2226,1,415,5
2227,1,2397,12
2228,1,2251,5
2229,1,2456,6
2230,1,970,11
2231,1,2446,11
2232,1,419,7
2233,1,2487,9
2234,1,211,10
2235,1,264,7
2236,1,217,8
2237,1,1705,11
2238,1,1953,5
2239,1,1610,12
2240,1,2294,12
2241,1,2309,5
2242,1,1782,11
2243,1,216,15
2244,1,1028,13
2245,1,952,8
2246,1,261,5
2247,1,183,7
2248,1,133,7
2249,1,613,5
2250,1,1108,6
2251,1,2069,15
2252,1,1176,12
2253,1,2711,8
2254,1,272,12
2255,1,2758,15
2256,1,24,14
2257,1,36,12
2258,1,2984,13
2259,1,1322,10
2260,1,1632,12
2261,1,2335,15
2262,1,1617,7
2263,1,64,15
2264,1,396,7
2265,1,1878,15
2266,1,1980,9
2267,1,85,7
2268,1,1239,12
2269,1,2666,9
2270,1,119,10
2271,1,488,8
2272,1,857,9
2273,1,2843,14
2274,1,2937,7
2275,1,1663,14
2276,1,2427,11
2277,1,422,8
2278,1,1771,7
2279,1,806,8
2280,1,191,5
2281,1,266,12
2282,1,1286,11
2283,1,245,13
2284,1,1829,13
2285,1,1149,14
2286,1,2720,14
2287,1,709,12
2288,1,808,11
2289,1,845,8
2290,1,1858,15
2291,1,1009,5
