1,7058,JOSI8Gxxy1K9Ya,76.67,DagaZsOXGKhWyoriginalhozsVBhMysljfFgkkkYR9Vd
2,9562,68XEWC81hH3TnILGZ,31.58,6Cz0RLocCDCaA8oomQHVhqem4FJH
3,8639,gMvMEbrnJ9Q65mQ2B82,68.96,hR9TWEM98McOSls4OzbryHwXpmROfS6TYgggCA
4,8868,NBnQ4G0Q0re7x8Jg,41.00,upce2V4850jHDa5eRTVvOemlmRwHCFPhQQjZat
5,4477,PrZwVLNyjRRfhQso8T4J,88.31,inLTAeNCq0yFP5DWYL2o4M6zq4WeJoA9GicZCKh6k
6,8245,C6xvAgeKeFOnZlS,91.68,2mwJLGkvmAej3kNe2urj4vlZi57IFwTRKg0O
7,839,zniAOOhbj5Ely3mjSoyyL,18.86,zmWlnCk9iNaJ9nVPy6el2AdEP4oEhi8UM4a9kfoH
8,3508,J0GE1yDZl8lPUKgAvm,80.72,z4fSSoriginalyc1aJt2qC26cxOxcCaehew
9,7410,l4CpjWEbR7cWl6svfPRkBlp,75.40,bjdYNCzEYkEp5KkDYg0VfLrZL3fsQ6wn61gNNfJfUB6DAcdw
10,1790,Zm0CRdINyvn0gbZfqBWR09K,54.81,iVBxTXckIJxypoIIoZA4i13lYEVPP5wj2MyxAeJQgBoreIUB
11,148,TqMtRk7NeHcTUijSkd3,48.61,G0C6dwXPBkXXT8E1B1VBq1IKv0kaMV6tiKNwx1S9S0TJ0d1yH
12,6089,tDknc3PB5Ze2F2kYNl,55.95,QQPh2FoiXuAg2a1zpwWUmz8ZFStt9s52DXOkB6vBGX91RLjW
13,3541,xSNPDSPJD55I9bDQ,82.08,4pUIoA9NSTRxqbmM27p2LC97ejlCdI
14,5610,Zs0M0wZJSdx2utToVWBQP,83.04,UtvQ3ZlR9P1IUG0ZQwbEtUDiwdwBK3knb1P0gW2dhMt8q2
15,7676,onnHhVB0dIYPGh93A,67.17,UgtTkyhAr7hB5qdKB0V9fJ78xYzeqJtIR
16,7014,v6fpsMsdffDlWfaAkxW6qG,19.13,ZIPcd9HfFYxJI46Wobo44zsI2xgqRy946EeK0oaU5wTIGU5wqE
17,3345,2dQkoGS8hmXv7wqbPBtNrAB,61.64,zUIBjChtT7nAGhW60YhXryxyc48jDWm
18,4638,OMDHOyQJJ1JRQtXa5agq2Rb,81.24,VRAvhNkui0NljCvFvXXMJQGcrKGHbbzPjqUaRasHXjMzyXcwm5
19,8308,l0THqPtofUP73TEhNALl,11.52,B7GlQMuDYhNr6QJVmmlLCF6Kzgr07FAlpdggbmVdpgPljA
20,3064,2jqbgFXa0VYt7ffkvLaeqg5,77.92,LtCT8PCQ4abKGLbCnik0qyLW0D2VIsG2E8XIX3v
21,2010,K1w3AY2Hngurx6gt4,62.51,FqyW7GHU5qH1caVNobilpztvl7n
22,2415,0wcP7Ky2j2WxGZbqFA,10.17,kXZCr2Uma3L8L7DUO7LLYp2WC4In8KL7pM
23,6552,z6jx8AznGAToUA,20.47,originalijTPcdNboCL0FsQBBGfSbHy
24,2020,nhi6ZgyVp23BqCzqb,13.66,mtZB6NYDsmdj4lA8p6RmWsbngVNfUrL
25,6440,Ouq692xJfa3KHDI,1.39,Gd8Ntu2psVMYXOf5VEtCTBRhqq4uMjWSrWd
26,2852,DOJ2da53iho0lo3HERE86ZB,58.56,r83qYg4jHx9HujNCpN1pRRcQ6NNKAUJQ5dLBZw36adihaGgE2p
27,838,XT3SVJZh8UHQ4o0fRU2J,30.90,wpgOXXzT7KEZx86hOGdAsd22bklGNoZ42s5Qdk5ryHmRez
28,5503,fvIbU8qUZsyDU2BeugS7F,23.84,v8PP7uyMpEzwgZSIf7zjYU82Y2Z
